CH1,N,CH2
-0.000050,4.960000,1.280000
-0.000050,4.880000,1.200000
-0.000050,4.960000,1.280000
-0.000050,4.960000,1.200000
-0.000050,4.880000,1.200000
-0.000050,4.880000,1.200000
-0.000050,4.880000,1.120000
-0.000050,4.800000,1.200000
-0.000050,4.880000,1.120000
-0.000050,4.880000,1.120000
-0.000050,4.960000,1.120000
-0.000050,4.800000,1.120000
-0.000050,4.720000,1.040000
-0.000049,4.960000,1.040000
-0.000049,4.880000,0.960000
-0.000049,4.800000,1.040000
-0.000049,4.960000,0.960000
-0.000049,4.880000,0.960000
-0.000049,4.880000,0.960000
-0.000049,4.960000,0.960000
-0.000049,4.880000,0.960000
-0.000049,4.880000,0.960000
-0.000049,4.960000,0.880000
-0.000049,4.800000,0.880000
-0.000049,4.880000,0.880000
-0.000049,4.800000,0.800000
-0.000049,4.800000,0.880000
-0.000049,4.960000,0.880000
-0.000049,4.880000,0.880000
-0.000049,4.880000,0.960000
-0.000049,4.880000,0.800000
-0.000049,4.880000,0.800000
-0.000049,4.880000,0.880000
-0.000049,4.960000,0.880000
-0.000049,4.960000,0.880000
-0.000049,4.880000,0.880000
-0.000049,4.880000,0.800000
-0.000049,4.960000,0.800000
-0.000048,4.880000,0.800000
-0.000048,4.960000,0.720000
-0.000048,4.880000,0.800000
-0.000048,4.880000,0.800000
-0.000048,4.880000,0.720000
-0.000048,4.960000,0.800000
-0.000048,4.880000,0.720000
-0.000048,4.800000,0.720000
-0.000048,4.960000,0.720000
-0.000048,4.960000,0.640000
-0.000048,4.880000,0.720000
-0.000048,4.880000,0.720000
-0.000048,4.880000,0.720000
-0.000048,4.800000,0.640000
-0.000048,4.880000,0.720000
-0.000048,4.960000,0.640000
-0.000048,4.960000,0.640000
-0.000048,4.960000,0.720000
-0.000048,4.960000,0.640000
-0.000048,4.880000,0.640000
-0.000048,4.960000,0.640000
-0.000048,4.960000,0.560000
-0.000048,4.960000,0.560000
-0.000048,4.880000,0.480000
-0.000048,4.960000,0.560000
-0.000047,4.960000,0.560000
-0.000047,4.880000,0.560000
-0.000047,4.880000,0.560000
-0.000047,4.800000,0.480000
-0.000047,4.880000,0.560000
-0.000047,4.960000,0.560000
-0.000047,4.880000,0.560000
-0.000047,4.880000,0.560000
-0.000047,4.960000,0.480000
-0.000047,4.880000,0.560000
-0.000047,4.960000,0.480000
-0.000047,4.880000,0.560000
-0.000047,4.960000,0.480000
-0.000047,4.960000,0.480000
-0.000047,4.880000,0.480000
-0.000047,4.800000,0.560000
-0.000047,4.880000,0.480000
-0.000047,4.880000,0.480000
-0.000047,4.800000,0.480000
-0.000047,4.800000,0.560000
-0.000047,4.880000,0.480000
-0.000047,4.960000,0.400000
-0.000047,4.800000,0.400000
-0.000047,4.880000,0.480000
-0.000047,4.880000,0.400000
-0.000046,4.880000,0.400000
-0.000046,4.880000,0.400000
-0.000046,4.960000,0.400000
-0.000046,4.960000,0.480000
-0.000046,4.880000,0.400000
-0.000046,4.800000,0.400000
-0.000046,4.960000,0.320000
-0.000046,4.960000,0.480000
-0.000046,4.880000,0.400000
-0.000046,4.880000,0.400000
-0.000046,4.960000,0.400000
-0.000046,4.880000,0.320000
-0.000046,4.880000,0.320000
-0.000046,4.880000,0.400000
-0.000046,4.880000,0.400000
-0.000046,4.880000,0.320000
-0.000046,4.880000,0.320000
-0.000046,4.880000,0.320000
-0.000046,4.800000,0.320000
-0.000046,4.880000,0.400000
-0.000046,4.960000,0.320000
-0.000046,4.960000,0.400000
-0.000046,4.800000,0.400000
-0.000046,4.880000,0.320000
-0.000046,4.880000,0.320000
-0.000045,4.800000,0.320000
-0.000045,4.960000,0.320000
-0.000045,4.880000,0.400000
-0.000045,4.960000,0.240000
-0.000045,4.880000,0.320000
-0.000045,4.880000,0.320000
-0.000045,4.880000,0.320000
-0.000045,4.880000,0.320000
-0.000045,4.880000,0.240000
-0.000045,4.880000,0.160000
-0.000045,4.960000,0.240000
-0.000045,4.880000,0.160000
